batter_id,play_guid,spray_angle,release_time,end_time
678246,69af8bcc-8b57-328e-b91c-8a8bc56c9e86,-30.618997695289366,2900,3700
643376,86927e46-ef8c-3ce2-8c11-aec8c7fec54a,-22.092550550634087,2900,3700
606192,ae5fe9e9-b245-3719-95ca-94602f26f304,-21.347873506663277,2900,3700
677594,6f048128-8ecf-3b9e-a25c-a2925408c2b2,-17.52653594633007,2900,3700
605141,167f9fc1-5a16-3692-8131-c4f03baf6c91,-22.754731609905903,2900,3700
643289,5f754e92-943d-3fc5-8111-9df5ab7f0765,-17.170413845306925,2900,3700
686780,446bdcd5-2a00-37ff-b696-958b03c57671,-34.917388596444425,2899,3699
667472,4bb8de66-4d8f-37cc-840b-5918bb294d3b,-30.366216156866656,2866,3666
664702,5b570cf2-47d2-3eab-9abb-86fd85f797fe,-19.904825898441516,2866,3666
686668,055f0c5a-41e4-3a74-81ea-d58bad45ceca,-24.147896807303454,2900,3700
807713,13def28d-1153-367f-b019-93c890b60d63,-19.431956820646917,2900,3700
621493,3b1b7abc-4f7f-309a-98e8-bc339f1055cd,-21.670066083513873,2866,3666
641598,d5d99867-82e2-31d9-9136-757f5edb273a,-18.531669304178195,2900,3700
672820,feb1cc7d-d2d7-3808-bc7f-cecbc68cdcb6,-22.739055451182196,2900,3700
671218,30344d02-48a1-3b67-b0ca-97e992f614a8,-15.291590714172699,2900,3700
656577,8da401da-3f2b-3ce9-a917-4a652431e7e2,-20.907196007203922,2867,3667
672640,d64747c9-f49e-3af5-8836-e67a8723bfed,-35.12654137700477,2866,3666
680737,72fed403-5c37-3214-a95c-75eb542358b9,-24.05929273380943,2866,3666
680777,006d09fd-fdb2-366c-8f89-4e57ade7b190,-30.27264979101527,2900,3700
678877,ff0cbc43-cda7-3ab5-9df9-93363660e5a5,-20.241384812927905,2867,3667
678662,df11c07e-df7f-3afd-8173-a695c48b1f6f,-20.331844977179173,2900,3700
665161,59a02d1d-edba-33e9-a7f2-a649211fb7e5,-19.817681894019685,2900,3700
