batter_id,play_guid,spray_angle,release_time,end_time
518692,c8569d6a-e097-3522-9f49-173ae54d6396,18.611136327785687,2867,3667
593871,7e559230-dd4d-3b95-95df-d7e01245833d,19.054278392009607,2900,3700
596146,e8c80c92-458a-3638-a898-aa24589b46be,20.320982275877896,2900,3700
608070,2da81f5c-836d-4a54-9b31-d61c41f1c7f3,34.611441353982414,2900,3700
683002,b316d782-5844-3d96-94d6-865e82f2de6c,24.233838020984493,2900,3700
682657,4dd30778-60fc-3728-8ff1-84af33792ca9,18.346268216285182,2866,3666
682928,f46a3c41-5a67-3d1b-8919-6f47664b7dbf,38.12861792155128,2866,3666
664059,5b1f21e5-7700-3e0e-8b9c-800176a6f406,22.60607258413117,2900,3700
663656,ac98941c-20be-39e8-9b97-14420ae1b8a0,44.26766220271759,2900,3700
671213,1296e0bf-68db-33d5-a1be-7bff903f0507,38.70994722576065,2900,3700
641680,5ace905d-bb71-372b-b19f-d1c3ddba5b17,24.193909707377685,2867,3667
669450,17b02b26-81d2-4957-96f5-ae53b5c02674,29.80238740851911,2900,3700
623168,a7e40567-1d13-3aec-af40-52236073a6ee,26.01098415013375,2867,3667
801276,8bbe8034-1d06-4e17-8b96-15c16ac82f5c,17.433947354195766,2866,3666
702616,d1aad372-cadf-3b26-924a-263ebda7a606,16.854508263547586,2867,3667
467793,ed17dafe-fede-3597-8952-6d4e807f7a2a,42.60623472040038,2867,3667
695578,3f9089f3-50e7-3a80-adc3-fa38dc6a07e4,18.661313762622612,2900,3700
643565,cb889e16-34c2-3672-a4e6-08a849311c84,30.419061522641485,2900,3700
666152,a30f836f-b554-359e-8eb8-6982475e7b22,20.021798553151086,2867,3667
700250,2487d124-d295-3c4e-a130-b83b59459378,16.452223216080483,2867,3667
641343,d915e182-faab-31b6-8510-fc2a44ac6704,28.490938004627402,2900,3700
643446,1bc704a2-2ec3-3c8d-8a77-616c238981a0,22.054363849353194,2867,3667
682657,03bc1a6a-a0b7-31b0-8e0e-a8b03f9d6e87,26.01760880887754,2867,3667
656541,c32fafa6-e211-4271-bbb4-cf55da0f6f52,30.52717326591229,2900,3700
