batter_id,play_guid,spray_angle,release_time,end_time
621043,72cfabfd-1261-4734-906e-092777286002,-34.62257162373906,2900,3700
671218,c5fd1f9c-b1cc-311c-9007-47f38ab4d982,-33.16974517726713,2900,3700
643376,bd272509-d813-3d04-b767-4bfda6ecd7db,-20.490961910095436,2900,3700
693307,74368372-9bae-3108-afcd-8f93614ef3f8,-16.7776670970281,2867,3667
672640,c9289f46-aef6-3b7a-a0e1-f84a589a8c8f,-16.12652138378344,2899,3699
669289,74c05534-06fe-45a7-ac55-7de97cc4e035,-35.53319692080727,2900,3700
669289,baa2ce7f-85ed-3b93-8466-f3d7ff76a91d,-20.27848800925308,2866,3666
457705,b92922b3-630b-30a8-a039-ad561d9a1c1c,-37.45884199355919,2866,3666
608070,d59423ba-ba71-3434-9279-b284615915da,-43.27708407643513,2867,3667
663697,c1351879-a061-32e5-8b97-f69add34df0f,-16.749875599567233,2866,3666
693307,79aa5528-fb7e-35f2-8bd1-cc3508377529,-38.27091340878306,2867,3667
669707,7235bcba-c9da-3845-ab92-9221989541f2,-44.18700928114572,2900,3700
692225,ce750f80-bb93-4b8c-9104-67ac6d271580,-35.7014770727497,2867,3667
663330,cd8acb20-ea7e-3308-a78a-b3cad40a898a,-19.065934100407077,2900,3700
642201,ca86b9c6-404a-3b8d-8399-3bd887b417b0,-42.619477925485285,2867,3667
676694,d1a95b9d-e243-3c15-a45c-e84f97f37f20,-25.721498493953476,2900,3700
671056,ba84e09b-309d-3042-bc26-91949e50e9c4,-16.656414524127385,2900,3700
595879,c604f98b-601e-3f2a-a8b4-db4d0523b344,-21.04126279532892,2900,3700
668227,74db19f3-a43e-34cf-bb15-e0df9c030568,-37.95376750717024,2867,3667
686555,84145431-f4c5-38e9-86c7-5ed0c60c339e,-34.17851962088392,2900,3700
680574,7669bbe9-88d7-48aa-b9f8-a328f4050064,-36.48497215574477,2866,3666
643289,bc3ae61d-fcf5-3e69-8f60-6ad7d380816a,-20.489087792317363,2900,3700
